"Time / s","Pulse Generator","Iout:Measured current"
0.00031806999276177966,1.25,16.329365415893392
0.0003181255233683087,1.25,16.351920509582953
0.00031818105397483779,1.25,16.375245768520244
0.00031823658458136683,1.25,16.39933694923522
0.00031829211518789592,1.25,16.424189826216576
0.00031834764579442495,1.25,16.449800191911919
0.00031840317640095405,1.25,16.476163856727567
0.00031845992364403039,1.25,16.503879025590805
0.00031851667088710669,1.25,16.532372074021055
0.00031857341813018304,1.25,16.561638588866231
0.00031863016537325939,1.25,16.591674175797351
0.00031868691261633568,1.25,16.622474459308364
0.00031874365985941203,1.25,16.654035082716206
0.00031880040710248838,1.25,16.686351708160828
0.00031885715434556468,1.25,16.71942001660517
0.00031891390158864103,1.25,16.753235707835159
0.00031897064883171737,1.25,16.787794500459796
0.0003190309928728158,1.25,16.825354193710041
0.00031909133691391422,1.25,16.863744250321901
0.00031915168095501259,1.25,16.902959591917636
0.00031921202499611101,1.25,16.942995163205865
0.00031927236903720943,1.25,16.983845931981364
0.00031933271307830785,1.25,17.025506889125325
0.00031939305711940622,1.25,17.067973048605154
0.00031945340116050464,1.25,17.11123944747456
0.00031948159828861156,1.25,17.131729593285684
0.00031948159828862067,1.25,17.131729593292306
0.00031954371896541508,1.25,17.17645335271672
0.00031960583964220948,1.25,17.21996430697962
0.00031966796031900383,1.25,17.262269294991341
0.00031973008099579823,1.25,17.303375124593515
0.00031979220167259264,1.25,17.343288572559004
0.00031985432234938704,1.25,17.382016384591907
0.00031991644302618145,1.25,17.419565275327557
0.0003199785637029758,1.25,17.455941928332578
0.0003200406843797702,1.25,17.491152996104802
0.0003201028050565646,1.25,17.52520510007335
0.00032016419574102116,1.25,17.557724886230318
0.00032022558642547778,1.25,17.589125555629238
0.00032028697710993433,1.25,17.619413409997804
0.00032034836779439095,1.25,17.648594722684578
0.00032040975847884751,1.25,17.676675738659071
0.00032047114916330412,1.25,17.703662674511662
0.00032053253984776068,1.25,17.729561718453567
0.00032059393053221724,1.25,17.754379030316898
0.00032065532121667385,1.25,17.778120741554744
0.00032071671190113041,1.25,17.800792955240951
0.0003207740134651176,1.25,17.820995360863918
0.00032083131502910474,1.25,17.84027620961092
0.00032088861659309193,1.25,17.858640397876059
0.00032094591815707906,1.25,17.876092801384516
0.00032100321972106625,1.25,17.892638275192951
0.00032106052128505345,1.25,17.908281653689187
0.00032111782284904058,1.25,17.923027750592354
0.00032117512441302777,1.25,17.93688135895286
0.00032123242597701496,1.25,17.949847251152335
0.0003212897275410021,1.25,17.961930178903799
0.00032134453305293842,1.25,17.972665028607025
0.0003213993385648748,1.25,17.982600612524351
0.00032145414407681113,1.25,17.991741035261185
0.0003215089495887475,1.25,18.000090384791662
0.00032156375510068383,1.25,18.00765273245861
0.00032161856061262015,1.25,18.014432132973553
0.00032167336612455653,1.25,18.020432624416657
0.00032172817163649285,1.25,18.025658228236722
0.00032178297714842923,1.25,18.030112949251247
0.00032183778266036556,1.25,18.033800775646483
0.0003218945506970976,1.25,18.036816317998102
0.00032195131873382959,1.25,18.039017715655802
0.00032200808677056164,1.25,18.04040934454224
0.00032206485480729369,1.25,18.040995562175823
0.00032212162284402568,1.25,18.040780707670876
0.00032217839088075772,1.25,18.039769101737448
0.00032223515891748977,1.25,18.037965046681393
0.00032229192695422176,1.25,18.035372826404455
0.00032234869499095381,1.25,18.031996706404101
0.00032240546302768586,1.25,18.02784093377366
0.00032246662456627873,1.25,18.022495885975871
0.00032252778610487165,1.25,18.01625600867925
0.00032258894764346452,1.25,18.009126541883347
0.00032265010918205739,1.25,18.00111270180841
0.00032271127072065032,1.25,17.992219680895374
0.00032277243225924319,1.25,17.98245264780607
0.00032283359379783611,1.25,17.971816747422935
0.00032289475533642899,1.25,17.960317100849181
0.00032295591687502186,1.25,17.947958805408803
0.00032301707841361478,1.25,17.934746934646483
0.00032307987025928438,1.25,17.920300184597579
0.00032308417905213256,1.25,17.919276191090717
0.00032308417905214178,1.25,17.9192761910885
0.00032314353258680871,1.25,17.904745689034115
0.00032320288612147565,1.25,17.889425850285051
0.00032326223965614258,1.25,17.873321224452667
0.00032332159319080952,1.25,17.856436341028228
0.00032338094672547651,1.25,17.838775709383015
0.00032343094619339185,1.25,17.82329968348634
0.00032343094619340107,1.25,17.823299683483441
0.00032350289468981034,1.25,17.800074840791495
0.00032357484318621955,1.25,17.775730144139743
0.00032364679168262882,1.25,17.750273474716124
0.00032371874017903809,1.25,17.72371267155313
0.0003237906886754473,1.25,17.696055531528145
0.00032386263717185657,1.25,17.667309809363104
0.00032393458566826579,1.25,17.637483217624805
0.00032400653416467506,1.25,17.606583426724654
0.00032407848266108433,1.25,17.574618064918781
0.00032415043115749354,1.25,17.541594718308119
0.00032421265212286595,1.25,17.512188888928563
0.00032427487308823842,1.25,17.482002314679733
0.00032433709405361083,1.25,17.451039826247126
0.00032439931501898329,1.25,17.419306231809372
0.0003244615359843557,1.25,17.386806317038236
0.00032452375694972817,1.25,17.353544845098611
0.00032458597791510058,1.25,17.319526556648441
0.00032464819888047304,1.25,17.284756169838857
0.00032471041984584545,1.25,17.249238380314125
0.00032477264081121792,1.25,17.212977861211527
0.00032483486177659033,1.25,17.175979263795853
0.00032489708274196279,1.25,17.138247216549303
0.0003249593037073352,1.25,17.099786325402306
0.00032502152467270767,1.25,17.060601174748172
0.00032508374563808008,1.25,17.020696327443005
0.00032514596660345254,1.25,16.980076324805594
0.00032520818756882495,1.25,16.938745686617608
0.00032527040853419742,1.25,16.896708911123454
0.00032533262949956983,1.25,16.853970475030366
0.00032539485046494229,1.25,16.810534833508314
0.00032545591421981551,1.25,16.767233434473468
0.00032551697797468868,1.25,16.723268964506417
0.0003255780417295619,1.25,16.678645574585573
0.00032563910548443506,1.25,16.633367396562107
0.00032570016923930828,1.25,16.587438543159948
0.00032576123299418144,1.25,16.54086310797598
0.00032582229674905466,1.25,16.493645165479791
0.00032588336050392783,1.25,16.44578877101381
0.00032594442425880105,1.25,16.397297960793338
0.00032600548801367421,1.25,16.348176751906465
0.00032606243928812948,1.25,16.301799103040508
0.00032611939056258475,1.25,16.254879814324454
0.00032617634183704003,1.25,16.207422099921047
0.00032623329311149535,1.25,16.159429160109255
0.00032629024438595063,1.25,16.110904181284099
0.0003263471956604059,1.25,16.061850335956763
0.00032640414693486117,1.25,16.012270782754456
0.00032646109820931644,1.25,15.962168666420609
0.00032651804948377171,1.25,15.911547117814706
0.00032657500075822699,1.25,15.860409253912422
